# RA Dec Distance Mag Spectrum
0.12302771 -11.03336416 657.894736842105  8.98 G5          
0.12312053 -11.61292585 139.082058414465  8.24 A6:m...     
0.12368601 -40.47958534 138.69625520111  8.53 K0V         
0.12386179 -77.49416581 456.62100456621  8.40 G8III       
0.12445974 -56.01154749 133.155792276964  7.48 F5IV/V      
0.12479531 17.30273637 613.496932515337  8.46 K0          
0.12535862 24.32121026 182.481751824818  8.57 A5          
0.1256492 -23.81894320 32.5097529258778  8.70 K0V         
0.12577636 32.00877870 99.2063492063492  8.50 F5          
0.12630588 -60.64172798 112.866817155756  8.37 F7V         
0.12643796 31.66904954 165.289256198347  6.87 G5          
0.12682801 -62.31507712 400  7.50 M1III       
0.12688198 -86.03877612 395.256916996047  7.39 B9IV        
0.12705754 -45.11929768 121.802679658952  8.19 F8/G0V      
0.12706013 52.77298980 364.963503649635  7.56 G5          
0.12706217 53.52653764 102.774922918808  8.37 F0          
0.12713266 40.07851976 186.219739292365  7.39 K0          
0.12720594 40.14799609 98.6193293885601  6.73 G5          
0.12752971 -66.89539355 420.168067226891  8.66 G3III       
0.12777993 01.09425779 346.020761245675  8.25 A0          
0.12782948 -07.92129475 300.3003003003  8.47 G5          
0.1279186 39.03491283 104.384133611691  8.01 F5          
0.12803261 -65.93227482 127.551020408163  6.83 K1/K2III    
0.12850273 -46.54467295 237.529691211401  8.79 K2III       
0.12863906 37.18548226 139.082058414465  7.44 F5          
0.12891543 -02.54868621 149.476831091181  6.43 B8IIIsp...  
0.12968212 -22.50847542 80.3212851405623  5.93 A1V         
0.12994545 -05.48598739 232.018561484919  8.85 K0          
0.13010957 -11.12904586 141.643059490085  8.55 G5          
0.13083039 38.72179052 173.611111111111  7.66 A3          
0.13107664 55.57701937 45.8085203847916  7.82 G0          
0.13191816 -51.25786512 285.714285714286  8.21 K0/K1III    
0.13310668 -14.22671354 128.369704749679  8.85 G3:V
0.13314352 -78.21097486 854.700854700855  7.79 K3III       
0.13315104 -18.68470818 274.725274725275  7.58 K1IV        
0.13340341 -07.54477340 93.8086303939963  7.85 F5V         
0.1334316 -78.59876143 111.731843575419  7.18 A3V         
0.13354435 29.83750636 261.096605744125  7.54 F2          
0.13381462 31.39121911 122.100122100122  7.12 A5          
0.13390149 -45.38213796 228.83295194508  8.84 K0III       
0.13431035 -33.52933371 99.8003992015968  5.67 K1III       
0.13461645 53.79639636 102.354145342886  8.15 F8          
0.13494725 04.92733420 290.697674418605  8.19 G5          
0.13599106 31.37900363 204.081632653061  7.27 A3          
0.13611203 71.15948850 306.748466257669  8.51 A0          
0.13658947 -59.06308248 413.223140495868  8.36 K1IIICN...  
0.13665791 -70.05583226 520.833333333333  8.74 K2III       
0.13669219 -02.44769895 307.692307692308  6.18 K2III       
0.13713003 29.73233165 245.098039215686  8.31 K0          
