CODIGO;CREDITOS;DISCIPLINA;TIPO DA DISCIPLINA;TURMA;HORARIO;CURSOS
4644G;2;PROGRAMACAO DE PERIFERICOS - CC;PRATICA;128;4JK;4/604 4/605
4645F;4;PROGRAMACAO DISTRIBUIDA;PRATICA;128;3NP 5NP;4/604 4/605
4611F;4;PROGRAMACAO ORIENTADA A OBJETOS;PRATICA;127;2NP 4NP;4/606 4/624 4/630
4611F;4;PROGRAMACAO ORIENTADA A OBJETOS;PRATICA;138;2CD 4EY;4/606 4/624 4/630
46528;2;PROGRAMACAO PARALELA;PRATICA;127;5LM;4/630
4646X;4;PROJETO DE DESENVOLVIMENTO DE JOGOS;PRATICA;128;3AB 5AB;4/606
46529;6;PROJETO E ARQUITETURA DE SOFWARE;PRATICA;127;2LM 4LM 6LM;4/630
4646Z;4;PROJETO E OTIMIZACAO DE ALGORITMOS;TEORICA;128;2AB 4AB;4/606
4637E;2;QUALIDADE DE PRODUTO;TEORICA;168;2NP;4/624
54670;2;REDES DE COMPUTADORES;TEORICA;1;4AB;9/404
4458D;4;REDES DE COMUNICACAO II;TEORICA;590;3LM 5LM;4/450 4/453
48240;1;SAIDA DE CAMPO I;TEORICA;260;6L;4/804
48241;1;SAIDA DE CAMPO II;TEORICA;280;6P;4/804
4611G;4;SIMULACAO E METODOS ANALITICOS;TEORICA;128;3EY 5EY;4/606 4/630
4637F;4;SISTEMAS DE INFORMACAO INTEGRADOS;PRATICA;168;3NP 5NP;4/624
4647B;4;SISTEMAS DISTRIBUIDOS;TEORICA;128;3CD 5CD;4/606
54665;3;SISTEMAS MULTIAGENTES;TEORICA;1;2CDE;9/404
4647D;4;SISTEMAS OPERACIONAIS;TEORICA;168;3LM 6LM;4/606 4/624
4444M;4;SOLDAGEM;TEORICO-PRATICA;380;2NP 3LM;4/452
46180;4;TEORIA DA COMPUTABILIDADE;TEORICA;590;2AB 4AB;4/450
4480J;6;TERMODINAMICA I;TEORICO-PRATICA;370;2NP 3JK 5LM;4/456
4637K;2;TOPICOS AVANCADOS EM GESTAO DE DADOS;TEORICA;168;2LM;4/624
4621E;2;TRABALHO DE CONCLUSAO DE CURSO - EC;TEORICO-PRATICA;590;4HI;4/450
4637M;4;TRABALHO DE CONCLUSAO II;PRATICA;168;6ABCD;4/624
4811E;2;URBAN EXPERIENCES;TEORICA;260;6FG;4/804
46534;2;VERIFICACAO E VALIDACAO DE SOFTWARE II;TEORICA;127;3LM;4/630
